from,to,strength,direction,in_final_dag,verdict,confidence_score,direction_assessment,rationale,pubmed_references,indra_direction_signal,indra_forward_statement_count,indra_reverse_statement_count,indra_undirected_statement_count,indra_forward_pmids,indra_reverse_pmids,indra_undirected_pmids,search_query
hemoglobin,hematocrit,1.0,0.513,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,(Oxygen-carrying protein in red blood cells (CBC).) AND (Percent of blood volume made up of red blood cells (CBC).)
ast,alt,1.0,0.504,True,inconclusive,0.7,no_directional_evidence,"All PubMed abstracts discuss AST and ALT as co-measured liver injury biomarkers that change together in response to hepatotoxic insults, but none describe a causal relationship where AST levels directly influence ALT levels. The INDRA database contains zero directional statements in either direction. While there is strong evidence these enzymes are related (both are aminotransferases released during hepatocellular injury), there is no mechanistic or causal evidence supporting the proposed ""ast"" -> ""alt"" direction over the reverse or bidirectional relationship.","42520093, 42223275, 42373439, 42157520, 42242754",none,0.0,0.0,0.0,,,,"(Aspartate aminotransferase -- liver enzyme, liver injury marker.) AND (Alanine aminotransferase -- liver enzyme, liver injury marker.)"
hdl,triglycerides,0.999,0.572572572572573,True,supported,0.4,no_directional_evidence,"The PubMed abstracts confirm an inverse relationship between HDL cholesterol and triglycerides exists (both studies show these lipid parameters change together in metabolic syndrome contexts), supporting that these entities are related. However, neither the INDRA database (0 directional statements in either direction) nor the PubMed abstracts provide clear mechanistic or causal evidence for the proposed ""hdl"" -> ""triglycerides"" direction versus the reverse. The abstracts describe correlations and co-occurrence patterns in metabolic syndrome but do not establish which variable causally influences the other.","17351155, 25726220",none,0.0,0.0,0.0,,,,(HDL ('good') cholesterol (lipid panel).) AND (Triglycerides -- blood fat level (lipid panel).)
albumin,calcium,0.996,0.617469879518072,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,"(Albumin -- main blood protein, made by the liver (nutrition/liver/kidney marker).) AND (Serum calcium level.)"
creatinine,bun,0.931,0.79484425349087,True,supported,0.6,supports_reverse_direction,"INDRA evidence shows 1 reverse causal statement (BUN -> creatinine, IncreaseAmount) and 0 forward statements, indicating the literature supports the reverse direction. While a relationship between these entities is supported, the evidence contradicts the proposed ""creatinine -> bun"" direction and instead favors ""bun -> creatinine"". No PubMed abstracts were available to provide additional context.",,reverse,0.0,1.0,1.0,,24088987,24088987,"(Creatinine -- waste product of muscle metabolism, kidney function marker.) AND (Blood urea nitrogen -- kidney function marker.)"
esr,platelets,0.86,0.501744186046512,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,(Erythrocyte sedimentation rate -- nonspecific marker of inflammation.) AND (Platelet count -- cell fragments involved in blood clotting (CBC).)
bun,albumin,0.851,0.615746180963572,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,"(Blood urea nitrogen -- kidney function marker.) AND (Albumin -- main blood protein, made by the liver (nutrition/liver/kidney marker).)"
sex,creatinine,0.817,1.0,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,"(Biological sex (demographic covariate).) AND (Creatinine -- waste product of muscle metabolism, kidney function marker.)"
crp,neutrophils,0.772,0.632124352331606,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,"(C-reactive protein -- acute-phase inflammation marker.) AND (Neutrophil count -- innate immune cells, first responders to infection (CBC differential).)"
crp,esr,0.764,0.650523560209424,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,(C-reactive protein -- acute-phase inflammation marker.) AND (Erythrocyte sedimentation rate -- nonspecific marker of inflammation.)
