from,to,strength,direction,in_final_dag,verdict,confidence_score,direction_assessment,rationale,pubmed_references,indra_direction_signal,indra_forward_statement_count,indra_reverse_statement_count,indra_undirected_statement_count,indra_forward_pmids,indra_reverse_pmids,indra_undirected_pmids,search_query
age_group,GDF15,1.0,1.0,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,"(Binned/categorical age group (demographic covariate).) AND (Growth Differentiation Factor 15 -- stress-response cytokine, marker of aging/mitochondrial stress.)"
sex,LEP,1.0,1.0,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,(Biological sex (demographic covariate).) AND (Leptin -- hormone from fat tissue that regulates appetite/energy balance.)
weight,hdl,1.0,0.99,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,(Body weight (anthropometric covariate).) AND (HDL ('good') cholesterol (lipid panel).)
weight,LEP,1.0,1.0,True,supported,0.7,supports_reverse_direction,"INDRA evidence shows 1 reverse statement (LEP -> weight, Inhibition type) and 0 forward statements supporting the proposed direction. The mechanistic evidence suggests LEP (leptin) inhibits weight, which is the reverse of the proposed edge. No PubMed abstracts were retrieved to provide additional context or support for the proposed direction.",,reverse,0.0,1.0,1.0,,23675529,23675529,(Body weight (anthropometric covariate).) AND (Leptin -- hormone from fat tissue that regulates appetite/energy balance.)
hematocrit,hemoglobin,1.0,1.0,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,(Percent of blood volume made up of red blood cells (CBC).) AND (Oxygen-carrying protein in red blood cells (CBC).)
hematocrit,rbc,1.0,1.0,True,supported,0.85,supports_proposed_direction,"The PubMed abstracts consistently describe hematocrit as a measured property or characteristic of red blood cells. PMID 30866659 explicitly shows hematocrit changing in response to factors affecting RBC properties (smoking effects on ""hematocrit, hemoglobin, and mean corpuscular volume""). The biological definition of hematocrit is the percent of blood volume made up of red blood cells, making it mathematically and causally dependent on RBC count and volume. While INDRA provides no directional statements, the conceptual relationship is clear: hematocrit is calculated FROM red blood cell characteristics, supporting the proposed direction.",30866659,none,0.0,0.0,0.0,,,,(Percent of blood volume made up of red blood cells (CBC).) AND (Red blood cell count (CBC).)
mpv,platelets,1.0,0.98,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,(Mean platelet volume -- average size of platelets (CBC).) AND (Platelet count -- cell fragments involved in blood clotting (CBC).)
rdw,rbc,1.0,1.0,True,supported,0.35,supports_reverse_direction,"The literature consistently shows that RDW is associated with various clinical outcomes and correlates with other hematological parameters including RBC count. However, the evidence suggests RBC pathology drives RDW changes rather than vice versa: PMID 41546586 shows RDW negatively correlates with RBC count (r=-0.525), indicating that decreased RBC production/function leads to increased RDW variability. RDW is measured as a downstream consequence of RBC heterogeneity, making the proposed ""rdw"" -> ""rbc"" direction biologically implausible. INDRA provides no directional statements to support either direction.","41546586, 42131666, 41914988, 41436979, 41576603",none,0.0,0.0,0.0,,,,(Red cell distribution width -- variability in red blood cell size (CBC).) AND (Red blood cell count (CBC).)
albumin,calcium,1.0,1.0,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,"(Albumin -- main blood protein, made by the liver (nutrition/liver/kidney marker).) AND (Serum calcium level.)"
albumin,protein,1.0,1.0,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,"(Albumin -- main blood protein, made by the liver (nutrition/liver/kidney marker).) AND (Total serum protein.)"
