from,to,strength,direction,in_final_dag,verdict,confidence_score,direction_assessment,rationale,pubmed_references,indra_direction_signal,indra_forward_statement_count,indra_reverse_statement_count,indra_undirected_statement_count,indra_forward_pmids,indra_reverse_pmids,indra_undirected_pmids,search_query
e2f_targets,g2_m_checkpoint,1.0,0.805,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,(Gene-set activity score for genes regulated by the E2F transcription factor (cell cycle/proliferation).) AND (Gene-set activity score for genes for the G2/M cell cycle checkpoint (proliferation).)
e2f_targets,myc_targets_v1,1.0,0.875,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,"(Gene-set activity score for genes regulated by the E2F transcription factor (cell cycle/proliferation).) AND (Gene-set activity score for genes regulated by the MYC oncogene (proliferation), set 1.)"
g2_m_checkpoint,mitotic_spindle,1.0,0.975,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,(Gene-set activity score for genes for the G2/M cell cycle checkpoint (proliferation).) AND (Gene-set activity score for genes for the mitotic spindle apparatus (cell division).)
myc_targets_v1,dna_repair,1.0,0.995,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,"(Gene-set activity score for genes regulated by the MYC oncogene (proliferation), set 1.) AND (Gene-set activity score for genes for DNA damage repair.)"
uv_response_dn,inflammatory_response,1.0,0.905,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,(Gene-set activity score for genes downregulated in response to UV radiation.) AND (Gene-set activity score for genes for general inflammatory response.)
hypoxia,protein_secretion,1.0,0.97,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,(Gene-set activity score for genes induced by low-oxygen conditions.) AND (Gene-set activity score for genes for protein secretion pathway.)
inflammatory_response,il_6_jak_stat3_signaling,1.0,0.985,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,(Gene-set activity score for genes for general inflammatory response.) AND (Gene-set activity score for genes induced by IL-6/JAK/STAT3 signaling.)
inflammatory_response,kras_signaling_up,1.0,0.985,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,(Gene-set activity score for genes for general inflammatory response.) AND (Gene-set activity score for genes upregulated by KRAS oncogene signaling.)
interferon_alpha_response,interferon_gamma_response,1.0,0.725,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,(Gene-set activity score for genes induced by type-I interferon (IFN-alpha) signaling.) AND (Gene-set activity score for genes induced by interferon-gamma signaling.)
coagulation,complement,1.0,0.56,True,supported,0.7,supports_reverse_direction,"INDRA statements provide clear evidence for a relationship between coagulation and complement, with 1 reverse directional statement (complement -> coagulation, Activation type) and 0 forward statements. The INDRA direction signal explicitly indicates ""reverse"", meaning the evidence supports complement activating coagulation rather than the proposed coagulation -> complement direction. No PubMed abstracts were retrieved to provide additional context.",,reverse,0.0,1.0,1.0,,"35371063, 36545026, 38620713","35371063, 36545026, 38620713",(Gene-set activity score for genes for blood coagulation.) AND (Gene-set activity score for genes for the complement immune system.)
kras_signaling_up,allograft_rejection,1.0,0.99,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,(Gene-set activity score for genes upregulated by KRAS oncogene signaling.) AND (Gene-set activity score for genes involved in immune rejection of transplanted tissue.)
epithelial_mesenchymal_transition,uv_response_dn,1.0,0.57,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,(Gene-set activity score for genes for epithelial-to-mesenchymal transition.) AND (Gene-set activity score for genes downregulated in response to UV radiation.)
epithelial_mesenchymal_transition,hypoxia,1.0,0.855,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,(Gene-set activity score for genes for epithelial-to-mesenchymal transition.) AND (Gene-set activity score for genes induced by low-oxygen conditions.)
epithelial_mesenchymal_transition,apical_junction,1.0,0.915,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,(Gene-set activity score for genes for epithelial-to-mesenchymal transition.) AND (Gene-set activity score for genes for apical junction complex (cell-cell adhesion).)
estrogen_response_early,estrogen_response_late,1.0,1.0,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,(Gene-set activity score for genes for early estrogen response.) AND (Gene-set activity score for genes for late estrogen response.)
estrogen_response_early,apical_surface,1.0,0.985,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,(Gene-set activity score for genes for early estrogen response.) AND (Gene-set activity score for genes for the apical cell membrane surface.)
