from,to,strength,direction,in_final_dag,verdict,confidence_score,direction_assessment,rationale,pubmed_references,indra_direction_signal,indra_forward_statement_count,indra_reverse_statement_count,indra_undirected_statement_count,indra_forward_pmids,indra_reverse_pmids,indra_undirected_pmids,search_query
cmv,l3_klrf1_gzmb_cd27_memory_cd4_t_cell_alr,1.0,1.0,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,"(Cytomegalovirus serostatus -- prior CMV infection profoundly reshapes the T/NK cell repertoire, common covariate in immune-aging studies.) AND (Additive-log-ratio (alr) transformed relative abundance of KLRF1+ Granzyme B+ CD27+ memory CD4 T cell among PBMCs.)"
l2_progenitor_cell,l1_progenitor_cell_alr,1.0,0.51,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,(Relative abundance / frequency (untransformed) of progenitor (stem/precursor) cell cell among PBMCs.) AND (Additive-log-ratio (alr) transformed relative abundance of progenitor (stem/precursor) cell cell among PBMCs.)
l3_cd56bright_nk_cell,l2_cd56bright_nk_cell_alr,1.0,0.573,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,(Relative abundance / frequency (untransformed) of CD56bright NK cell among PBMCs.) AND (Additive-log-ratio (alr) transformed relative abundance of CD56bright NK cell among PBMCs.)
l3_cd8aa,l2_cd8aa_alr,1.0,0.506,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,(Relative abundance / frequency (untransformed) of CD8aa among PBMCs.) AND (Additive-log-ratio (alr) transformed relative abundance of CD8aa among PBMCs.)
l3_dn_t_cell,l2_dn_t_cell_alr,1.0,0.577,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,(Relative abundance / frequency (untransformed) of double-negative T cell among PBMCs.) AND (Additive-log-ratio (alr) transformed relative abundance of double-negative T cell among PBMCs.)
l3_proliferating_t_cell,l2_proliferating_t_cell_alr,1.0,0.535,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,(Relative abundance / frequency (untransformed) of proliferating T cell among PBMCs.) AND (Additive-log-ratio (alr) transformed relative abundance of proliferating T cell among PBMCs.)
l2_memory_b_cell_alr,l2_effector_b_cell_alr,1.0,0.528,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,(Additive-log-ratio (alr) transformed relative abundance of memory B cell among PBMCs.) AND (Additive-log-ratio (alr) transformed relative abundance of effector B cell among PBMCs.)
l2_plasma_cell_alr,l3_plasma_cell,1.0,0.537,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,(Additive-log-ratio (alr) transformed relative abundance of plasma cell cell among PBMCs.) AND (Relative abundance / frequency (untransformed) of plasma cell cell among PBMCs.)
l2_transitional_b_cell_alr,l3_transitional_b_cell,1.0,0.79,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,(Additive-log-ratio (alr) transformed relative abundance of transitional B cell among PBMCs.) AND (Relative abundance / frequency (untransformed) of transitional B cell among PBMCs.)
l2_asdc_alr,l3_asdc,1.0,0.502,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,(Additive-log-ratio (alr) transformed relative abundance of AXL+/SIGLEC6+ dendritic cell (ASDC) among PBMCs.) AND (Relative abundance / frequency (untransformed) of AXL+/SIGLEC6+ dendritic cell (ASDC) among PBMCs.)
l2_cdc1_alr,l3_cdc1,1.0,0.537,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,(Additive-log-ratio (alr) transformed relative abundance of conventional dendritic cell 1 (cDC1) among PBMCs.) AND (Relative abundance / frequency (untransformed) of conventional dendritic cell 1 (cDC1) among PBMCs.)
l2_pdc_alr,l3_pdc,1.0,0.506,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,(Additive-log-ratio (alr) transformed relative abundance of plasmacytoid dendritic cell among PBMCs.) AND (Relative abundance / frequency (untransformed) of plasmacytoid dendritic cell among PBMCs.)
l2_intermediate_monocyte_alr,l3_intermediate_monocyte,1.0,0.502,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,(Additive-log-ratio (alr) transformed relative abundance of intermediate monocyte among PBMCs.) AND (Relative abundance / frequency (untransformed) of intermediate monocyte among PBMCs.)
l3_isg_cd14_monocyte_alr,l3_isg_cd16_monocyte_alr,1.0,0.5645,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,(Additive-log-ratio (alr) transformed relative abundance of ISG-high (interferon-stimulated-gene-high) CD14 monocyte among PBMCs.) AND (Additive-log-ratio (alr) transformed relative abundance of ISG-high (interferon-stimulated-gene-high) CD16 monocyte among PBMCs.)
l3_naive_vd1_gdt_alr,l3_sox4_vd1_gdt_alr,1.0,0.5105,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,(Additive-log-ratio (alr) transformed relative abundance of naive Vδ1 gamma-delta T cell among PBMCs.) AND (Additive-log-ratio (alr) transformed relative abundance of SOX4+ (recent thymic emigrant marker) Vδ1 gamma-delta T cell among PBMCs.)
l1_b_cell_alr,l3_transitional_b_cell,1.0,0.695,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,(Additive-log-ratio (alr) transformed relative abundance of B cell among PBMCs.) AND (Relative abundance / frequency (untransformed) of transitional B cell among PBMCs.)
l1_erythrocyte_alr,l2_erythrocyte,1.0,0.802,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,(Additive-log-ratio (alr) transformed relative abundance of erythrocyte (red blood cell) among PBMCs.) AND (Relative abundance / frequency (untransformed) of erythrocyte (red blood cell) among PBMCs.)
l1_erythrocyte_alr,l3_erythrocyte,1.0,0.509,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,(Additive-log-ratio (alr) transformed relative abundance of erythrocyte (red blood cell) among PBMCs.) AND (Relative abundance / frequency (untransformed) of erythrocyte (red blood cell) among PBMCs.)
l1_ilc_alr,l2_ilc,1.0,0.823,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,(Additive-log-ratio (alr) transformed relative abundance of innate lymphoid cell (ILC) among PBMCs.) AND (Relative abundance / frequency (untransformed) of innate lymphoid cell (ILC) among PBMCs.)
l1_ilc_alr,l3_ilc,1.0,0.501,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,(Additive-log-ratio (alr) transformed relative abundance of innate lymphoid cell (ILC) among PBMCs.) AND (Relative abundance / frequency (untransformed) of innate lymphoid cell (ILC) among PBMCs.)
l1_platelet_alr,l2_platelet,1.0,0.825,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,(Additive-log-ratio (alr) transformed relative abundance of platelet among PBMCs.) AND (Relative abundance / frequency (untransformed) of platelet among PBMCs.)
