from,to,strength,direction,in_final_dag,verdict,confidence_score,direction_assessment,rationale,pubmed_references,indra_direction_signal,indra_forward_statement_count,indra_reverse_statement_count,indra_undirected_statement_count,indra_forward_pmids,indra_reverse_pmids,indra_undirected_pmids,search_query
age_group,GDF15,1.0,1.0,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,"(Binned/categorical age group (demographic covariate).) AND (Growth Differentiation Factor 15 -- stress-response cytokine, marker of aging/mitochondrial stress.)"
sex,LEP,1.0,1.0,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,(Biological sex (demographic covariate).) AND (Leptin -- hormone from fat tissue that regulates appetite/energy balance.)
CXCL9,CXCL10,1.0,1.0,True,supported,0.7,conflicting,"INDRA provides strong evidence for a relationship between CXCL9 and CXCL10, with 25 forward statements, 25 reverse statements, and 25 undirected statements from multiple sources. However, the forward and reverse directional statements are nearly equal (25 vs 25), with similar type distributions (both containing Complex, Activation, Inhibition, IncreaseAmount, and DecreaseAmount), indicating bidirectional or reciprocal regulation rather than support for a specific direction. The majority of statements in both directions are Complex formation, which suggests strong physical/functional association but no clear directional causality.",,conflicting,25.0,25.0,25.0,"10322299, 11423172, 12782716, 15265940, 18533024, 19301198, 19794961, 20585034, 20627090, 21040721, 21049277, 21307292, 21326865, 21601294, 21864623, 21873527, 22155217, 22531000, 22633082, 22800603, 23150742, 23382730, 23626590, 23827991, 24440740, 24587470, 24740099, 24992040, 25134448, 25324719, 25723593, 25907241, 26196739, 26270565, 26437779, 26664893, 27412416, 27708643, 28821016, 29288898, 30473680, 30777092, 30915067, 31551984, 31843005, 32211244, 32547545, 33196963, 33323542, 33365073, 33481318, 34221297, 34676126, 34685582, 36799104, 36934327, 37869162, 38686377, 39956620, 9500790","10322299, 11423172, 12782716, 15265940, 18023390, 18533024, 18622291, 19794961, 20194716, 20585034, 20627090, 21040721, 21049277, 21167783, 21307292, 21326865, 21376175, 21864623, 21873527, 22155217, 22531000, 22800603, 23150742, 23352833, 23382730, 23626590, 23827991, 24587470, 24740099, 24992040, 25134448, 25324719, 25723593, 25907241, 26196739, 26270565, 26437779, 26664893, 27412416, 27708643, 28821016, 29288898, 29374213, 30473680, 30777092, 30915067, 31843005, 32211244, 32519302, 32547545, 33359600, 33365073, 33481318, 34676126, 34685582, 34896075, 36934327, 39956620, 9500790","10322299, 11423172, 12782716, 15265940, 18023390, 18533024, 18622291, 19301198, 19794961, 20194716, 20585034, 20627090, 21040721, 21049277, 21167783, 21307292, 21326865, 21376175, 21601294, 21873527, 22155217, 22531000, 22633082, 23150742, 23382730, 23626590, 23827991, 24440740, 24587470, 24740099, 24992040, 25134448, 25324719, 25723593, 25907241, 26196739, 26437779, 27412416, 27708643, 28821016, 29288898, 30473680, 30777092, 30915067, 31551984, 31843005, 32211244, 32519302, 32547545, 33196963, 33323542, 33359600, 33365073, 33481318, 34221297, 34676126, 34685582, 34896075, 36799104, 36934327, 37869162, 39956620","(MIG -- interferon-gamma-induced chemokine, recruits T cells.) AND (IP-10 -- interferon-induced chemokine, recruits T cells.)"
CXCL9,PDCD1,1.0,0.675,True,supported,0.5,conflicting,"INDRA source 2 provides substantial evidence for a relationship between CXCL9 and PDCD1, with 6 forward statements and 6 reverse statements showing equal counts of directional evidence (both directions have 1 Activation and 1 Inhibition statement, plus 4 Complex statements each). The identical counts and symmetric statement types indicate conflicting directional evidence, making it impossible to favor the proposed CXCL9->PDCD1 direction over the reverse based on available literature.",,conflicting,6.0,6.0,8.0,"31216458, 33003392, 35592387, 38962427","31186412, 31251403, 33003392","31186412, 31216458, 31251403, 33003392, 35592387, 38962427","(MIG -- interferon-gamma-induced chemokine, recruits T cells.) AND (PD-1 -- immune checkpoint receptor on T cells, dampens T cell activity.)"
IL1RN,LEP,1.0,0.73,True,supported,0.6,supports_reverse_direction,"INDRA data confirms a relationship exists between IL1RN and LEP (Complex formation in multiple sources plus directional statements). However, the directional evidence favors the reverse: 6 reverse statements (LEP -> IL1RN) including Activation and IncreaseAmount types versus 5 forward statements (IL1RN -> LEP) with only 1 Inhibition being directional (the 4 Complex statements are undirected). The preponderance of causal evidence supports LEP influencing IL1RN rather than the proposed direction.",,conflicting,5.0,6.0,7.0,"11889184, 24148878, 24340078, 25284335","11889184, 17097645, 19111549, 24148878, 24340078, 25284335, 28285098, 33076568","11889184, 17097645, 19111549, 24148878, 24340078, 25284335, 28285098, 33076568",(Interleukin-1 Receptor Antagonist -- dampens IL-1 inflammatory signaling.) AND (Leptin -- hormone from fat tissue that regulates appetite/energy balance.)
IL7,VEGFA,1.0,0.89,True,inconclusive,0.15,no_directional_evidence,"The INDRA database shows zero forward, reverse, or undirected statements between IL7 and VEGFA, indicating no documented mechanistic relationship. The PubMed abstracts retrieved focus on VEGFA regulation in various contexts (HCC, neuronal development, kidney injury, ovarian follicles, retinal angiogenesis) but none mention IL7 or discuss lymphocyte-related cytokines regulating VEGFA. The abstracts appear to be false positives from the similarity search and provide no evidence for any relationship between IL7 and VEGFA.",,none,0.0,0.0,0.0,,,,(Interleukin-7 -- cytokine required for lymphocyte development/survival.) AND (Vascular Endothelial Growth Factor A -- drives blood vessel formation (angiogenesis).)
CCL11,CCL2,1.0,0.63,True,supported,0.4,conflicting,"The literature clearly supports a relationship between CCL11 and CCL2, as evidenced by multiple PubMed abstracts showing they are co-expressed in disease states (PMID 11488333) and functionally related as CC chemokines. However, the directional evidence is conflicting: INDRA shows nearly equal counts of forward (21) and reverse (22) statements, both primarily representing complex formation rather than clear causal relationships. The PubMed abstracts describe these as co-regulated chemokines in inflammatory contexts but do not establish a clear causal direction where CCL11 regulates CCL2 expression or vice versa.","11488333, 11884459, 18782110, 9062350, 11044560",conflicting,21.0,22.0,23.0,"16803905, 18564895, 18602166, 22032874, 22465472, 24163703, 24997773, 25003719, 25063291, 25289758, 27752355, 28569792, 28655871, 29218043, 29679010, 30651341, 31780824, 32295518, 32296423, 36120342, 38381878, 39483923","16803905, 18564895, 18602166, 22032874, 22465472, 24163703, 24997773, 25003719, 25063291, 25289758, 26209626, 27752355, 28569792, 28655871, 28870209, 29218043, 29679010, 30651341, 31780824, 32295518, 32296423, 34447895, 36120342, 36138189, 39483923","16803905, 18564895, 18602166, 22032874, 22465472, 24163703, 24997773, 25003719, 25063291, 25289758, 26209626, 27752355, 28569792, 28655871, 28870209, 29218043, 29679010, 30651341, 31780824, 32295518, 32296423, 34447895, 36120342, 36138189, 38381878, 39483923",(Eotaxin-1 -- chemokine that recruits eosinophils.) AND (MCP-1 -- chemokine that recruits monocytes.)
CHI3L1,FGF21,1.0,0.59,True,inconclusive,0.3,no_directional_evidence,"INDRA reports one Complex statement that appears in both forward and reverse directions (PMID 33132219), indicating a non-directional physical interaction rather than a causal relationship. Complex formation is inherently symmetric and provides no evidence for either causal direction. No PubMed abstracts were retrieved to provide additional context or directional evidence.",,conflicting,1.0,1.0,1.0,33132219,33132219,33132219,(YKL-40 -- inflammation/tissue-remodeling marker.) AND (Fibroblast Growth Factor 21 -- metabolic hormone (fasting/stress response).)
TNFRSF1A,HAVCR2,1.0,0.94,True,supported,0.7,supports_proposed_direction,"INDRA provides clear directional evidence with 2 forward statements (Activation and DecreaseAmount) from TNFRSF1A to HAVCR2, and 0 reverse statements. The undirected statements confirm a relationship exists but don't add directional information. While no PubMed abstracts were retrieved for additional context, the INDRA causal evidence supports both the existence of a relationship and the proposed direction.",,forward,2.0,0.0,2.0,"29273790, 35743911, 39543125",,"29273790, 35743911, 39543125","(TNF Receptor 1 (TNF-R1) -- receptor mediating TNF signaling.) AND (TIM-3 -- immune checkpoint receptor, marks exhausted T/NK cells.)"
TNFRSF1B,HAVCR2,1.0,0.99,True,supported,0.65,supports_proposed_direction,"INDRA reports 1 forward Activation statement (TNFRSF1B -> HAVCR2) and 0 reverse statements, providing directional evidence favoring the proposed edge. However, confidence is moderate given the single supporting statement and absence of PubMed abstracts for additional context or validation.",,forward,1.0,0.0,1.0,39543125,,39543125,"(TNF Receptor 2 (TNF-R2) -- receptor mediating TNF signaling.) AND (TIM-3 -- immune checkpoint receptor, marks exhausted T/NK cells.)"
