from,to,strength,direction,in_final_dag,verdict,confidence_score,direction_assessment,rationale,pubmed_references,indra_direction_signal,indra_forward_statement_count,indra_reverse_statement_count,indra_undirected_statement_count,indra_forward_pmids,indra_reverse_pmids,indra_undirected_pmids,search_query
sex,hemoglobin,1.0,1.0,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,(Biological sex (demographic covariate).) AND (Oxygen-carrying protein in red blood cells (CBC).)
esr,platelets,1.0,0.825,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,(Erythrocyte sedimentation rate -- nonspecific marker of inflammation.) AND (Platelet count -- cell fragments involved in blood clotting (CBC).)
hemoglobin,hematocrit,1.0,1.0,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,(Oxygen-carrying protein in red blood cells (CBC).) AND (Percent of blood volume made up of red blood cells (CBC).)
hdl,triglycerides,1.0,1.0,True,supported,0.4,no_directional_evidence,"The PubMed abstracts confirm a relationship between HDL and triglycerides exists, as both studies measure these lipid parameters together in metabolic syndrome contexts and show they vary together (e.g., PMID 17351155 shows improvements in both HDL-C and triglycerides with orlistat treatment). However, neither abstract provides clear directional/causal evidence that HDL specifically drives changes in triglycerides. The INDRA database found zero directional statements in either direction, providing no mechanistic support for the proposed ""hdl"" -> ""triglycerides"" direction over the reverse. The relationship appears to be correlational rather than directional based on available evidence.","17351155, 25726220",none,0.0,0.0,0.0,,,,(HDL ('good') cholesterol (lipid panel).) AND (Triglycerides -- blood fat level (lipid panel).)
ldl,triglycerides,1.0,1.0,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,(LDL ('bad') cholesterol (lipid panel).) AND (Triglycerides -- blood fat level (lipid panel).)
alt,ast,1.0,1.0,True,inconclusive,0.3,no_directional_evidence,"ALT and AST are both liver enzymes that are measured together as biomarkers of hepatic injury. All PubMed abstracts (PMIDs 42223275, 42373439, 42242754, 42157520, 42495747) report them as co-varying indicators that rise together in liver damage, but none describe a causal relationship where ALT directly influences AST levels. INDRA found zero directional statements in either direction. The co-measurement pattern suggests they are parallel outputs of hepatocellular injury rather than having a causal relationship.","42223275, 42373439, 42242754, 42157520, 42495747",none,0.0,0.0,0.0,,,,"(Alanine aminotransferase -- liver enzyme, liver injury marker.) AND (Aspartate aminotransferase -- liver enzyme, liver injury marker.)"
albumin,calcium,1.0,1.0,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,"(Albumin -- main blood protein, made by the liver (nutrition/liver/kidney marker).) AND (Serum calcium level.)"
creatinine,bun,1.0,0.99,True,supported,0.6,supports_reverse_direction,"INDRA provides evidence of a relationship between creatinine and BUN (1 statement). However, the directional evidence contradicts the proposed direction: INDRA found 1 reverse statement (BUN -> creatinine, IncreaseAmount) and 0 forward statements. This suggests BUN increases creatinine rather than creatinine increasing BUN, which aligns with clinical knowledge where both are kidney function markers that tend to rise together in renal dysfunction, with BUN elevation often preceding or occurring alongside creatinine changes.",,reverse,0.0,1.0,1.0,,24088987,24088987,"(Creatinine -- waste product of muscle metabolism, kidney function marker.) AND (Blood urea nitrogen -- kidney function marker.)"
bun,albumin,1.0,0.91,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,"(Blood urea nitrogen -- kidney function marker.) AND (Albumin -- main blood protein, made by the liver (nutrition/liver/kidney marker).)"
sex,creatinine,0.99,1.0,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,"(Biological sex (demographic covariate).) AND (Creatinine -- waste product of muscle metabolism, kidney function marker.)"
