from,to,strength,direction,in_final_dag,verdict,confidence_score,direction_assessment,rationale,pubmed_references,indra_direction_signal,indra_forward_statement_count,indra_reverse_statement_count,indra_undirected_statement_count,indra_forward_pmids,indra_reverse_pmids,indra_undirected_pmids,search_query
hemoglobin,hematocrit,1.0,0.505,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,(Oxygen-carrying protein in red blood cells (CBC).) AND (Percent of blood volume made up of red blood cells (CBC).)
alt,ast,1.0,0.518,True,inconclusive,0.3,no_directional_evidence,"The PubMed abstracts confirm that ALT and AST are both liver enzymes that respond together to hepatic injury, and multiple studies measure both as correlated biomarkers. However, no abstract establishes a causal/regulatory relationship where ALT influences AST levels. INDRA found zero forward, reverse, or undirected statements, providing no directional signal. The co-measurement pattern suggests association rather than causation in either direction.","42520093, 42223275, 42373439, 42242754, 42157520",none,0.0,0.0,0.0,,,,"(Alanine aminotransferase -- liver enzyme, liver injury marker.) AND (Aspartate aminotransferase -- liver enzyme, liver injury marker.)"
ldl,total_chol,1.0,0.5,True,supported,0.75,supports_proposed_direction,"The literature supports a relationship between LDL and total cholesterol. The PubMed abstract (PMID 38323698) explicitly states that analyses were ""adjusted for demographics and cardiovascular risk factors, including estimated total LDL-C,"" indicating that LDL-C is a component contributing to total cholesterol measurements. This is consistent with the standard lipid panel definition where total cholesterol comprises LDL-C, HDL-C, and triglycerides/5. The proposed direction (ldl -> total_chol) is mathematically correct as LDL contributes to the total, though INDRA provides no directional causal statements.",38323698,none,0.0,0.0,0.0,,,,(LDL ('bad') cholesterol (lipid panel).) AND (Total cholesterol (lipid panel).)
total_chol,ldl,1.0,0.5,True,supported,0.75,supports_proposed_direction,"The relationship between total cholesterol and LDL is well-supported by clinical biochemistry: total cholesterol is calculated as the sum of LDL-C, HDL-C, and triglycerides/5 (in standard lipid panels), making total cholesterol compositionally dependent on LDL. PMID 38323698 discusses the relationship between sd-LDL-C and CAC, adjusting for ""total LDL-C"" in the analysis, which implicitly treats total cholesterol components (including LDL) as related variables. While INDRA provides no directional statements, the proposed direction (total_chol -> ldl) aligns with the standard clinical calculation where total cholesterol is the aggregate measure from which LDL is derived or estimated.",38323698,none,0.0,0.0,0.0,,,,(Total cholesterol (lipid panel).) AND (LDL ('bad') cholesterol (lipid panel).)
mpv,platelets,0.996,0.541164658634538,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,(Mean platelet volume -- average size of platelets (CBC).) AND (Platelet count -- cell fragments involved in blood clotting (CBC).)
hematocrit,rbc,0.994,0.776659959758551,True,supported,0.85,supports_proposed_direction,"The literature clearly establishes that hematocrit and RBC count are fundamentally related measures, with hematocrit being defined as the percent of blood volume made up of red blood cells. PMID 30866659 explicitly shows that factors affecting hematocrit (e.g., smoking) also affect RBC indices, demonstrating hematocrit as the volumetric measurement that depends on RBC presence. The proposed direction (hematocrit -> RBC) is supported by the mathematical/definitional relationship where hematocrit represents the aggregate measure (volume percentage) that conceptually encompasses the RBC count component.",30866659,none,0.0,0.0,0.0,,,,(Percent of blood volume made up of red blood cells (CBC).) AND (Red blood cell count (CBC).)
hdl,triglycerides,0.99,0.561616161616162,True,supported,0.3,no_directional_evidence,"The PubMed abstracts confirm that HDL cholesterol and triglycerides are related components of metabolic syndrome and lipid panels, but they describe primarily correlational or co-occurring changes rather than directional causality. PMID 17351155 shows both HDL-C and triglycerides decreased together with orlistat treatment, and PMID 25726220 reports associations between fitness perception and both HDL and triglyceride levels. The INDRA database contains zero directional statements in either direction. While a relationship between these entities is supported, there is no clear evidence favoring ""hdl"" -> ""triglycerides"" over the reverse direction.","17351155, 25726220",none,0.0,0.0,0.0,,,,(HDL ('good') cholesterol (lipid panel).) AND (Triglycerides -- blood fat level (lipid panel).)
globulin,protein,0.986,0.636916835699797,True,supported,0.7,supports_proposed_direction,"The PubMed abstracts clearly describe that calculated globulin (CG) is mathematically derived from total protein minus albumin, establishing that protein is a compositional prerequisite for globulin values. Both studies validate CG as correlating with immunoglobulin levels, confirming the relationship exists. The mathematical/compositional relationship (total protein → globulin fraction) supports the proposed direction, as total protein measurements are needed to derive calculated globulin. INDRA provides no directional evidence.","39507534, 37166344",none,0.0,0.0,0.0,,,,(Globulin -- blood proteins including antibodies (often total protein minus albumin).) AND (Total serum protein.)
albumin,calcium,0.983,0.641912512716175,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,"(Albumin -- main blood protein, made by the liver (nutrition/liver/kidney marker).) AND (Serum calcium level.)"
rdw,rbc,0.976,0.810450819672131,True,supported,0.65,no_directional_evidence,"The literature strongly supports a relationship between RDW and RBC (all abstracts demonstrate correlations between these parameters), but provides no evidence for the proposed ""rdw -> rbc"" direction. The abstracts consistently show associations and correlations (e.g., PMID 41546586 reports r=-0.525 between RDW and RBC), but describe RDW as a marker or predictor of disease states rather than a causal factor affecting RBC count. INDRA found zero directional statements in either direction. The biological understanding is that RDW reflects variability in RBC size, making RBC more likely to influence RDW rather than vice versa.","41914988, 41436979, 42131666, 41576603, 41546586",none,0.0,0.0,0.0,,,,(Red cell distribution width -- variability in red blood cell size (CBC).) AND (Red blood cell count (CBC).)
hdl,total_chol,0.963,0.673416407061267,True,supported,0.4,no_directional_evidence,"The PubMed abstracts confirm a strong correlational relationship between HDL and total cholesterol as co-measured lipid panel components (all 5 abstracts discuss both in metabolic contexts). However, INDRA found zero directional statements in either direction, and the PubMed abstracts describe correlations without establishing causal directionality. The abstracts show changes in both parameters together (e.g., PMID 31531722 shows TC and HDL both decreasing post-surgery), suggesting these are typically correlated outcomes rather than one causing the other. Without mechanistic evidence for HDL causing changes in total cholesterol specifically, the directional claim remains unsupported.","37092196, 31531722, 41596434, 17351155, 20112843",none,0.0,0.0,0.0,,,,(HDL ('good') cholesterol (lipid panel).) AND (Total cholesterol (lipid panel).)
albumin,protein,0.943,0.71474019088017,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,"(Albumin -- main blood protein, made by the liver (nutrition/liver/kidney marker).) AND (Total serum protein.)"
co2,chloride,0.932,0.638948497854077,True,inconclusive,0.3,no_directional_evidence,"The single PubMed abstract (PMID 23528507) describes correlations between serum CO2 and chloride levels in hypertrophic pyloric stenosis patients but does not establish a causal or directional relationship between these electrolytes. INDRA found zero forward, reverse, or undirected statements linking co2 and chloride. Without mechanistic or causal evidence from either source, the relationship and its direction remain inconclusive.",23528507,none,0.0,0.0,0.0,,,,(Serum bicarbonate/CO2 -- acid-base status.) AND (Serum chloride (electrolyte).)
weight,hdl,0.923,0.573131094257855,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,(Body weight (anthropometric covariate).) AND (HDL ('good') cholesterol (lipid panel).)
triglycerides,total_chol,0.878,0.661731207289294,True,supported,0.4,no_directional_evidence,"The PubMed abstracts consistently demonstrate that triglycerides and total cholesterol are both components of the lipid panel that are measured together and associated with various metabolic outcomes. Multiple studies show these variables co-vary in response to interventions (e.g., dietary changes) and are correlated with metabolic conditions. However, neither the INDRA causal statements (0 directional statements in either direction) nor the PubMed abstracts provide explicit evidence for a causal direction from triglycerides to total cholesterol specifically. The abstracts treat these as related lipid panel components without establishing which causally influences the other.","37605644, 33317019, 37529874, 42161748, 36973700",none,0.0,0.0,0.0,,,,(Triglycerides -- blood fat level (lipid panel).) AND (Total cholesterol (lipid panel).)
sex,crp,0.876,1.0,True,supported,0.65,supports_proposed_direction,"The PubMed abstract (PMID 28615263) demonstrates that sex is consistently used as a demographic covariate in modeling inflammation (CRP/AGP), indicating that sex is treated as an independent variable influencing inflammatory markers. The abstract states multivariable models were ""adjusted for age, sex, urban or rural residence"" when assessing inflammation outcomes, which supports sex as a predictor of CRP levels. While INDRA provides no directional statements, the epidemiological framework treating sex as a fixed demographic predictor of CRP is well-established and biologically plausible (sex differences in immune response and inflammation are documented).",28615263,none,0.0,0.0,0.0,,,,(Biological sex (demographic covariate).) AND (C-reactive protein -- acute-phase inflammation marker.)
creatinine,bun,0.87,0.742528735632184,True,supported,0.6,supports_reverse_direction,"INDRA provides evidence for a relationship between these entities (1 IncreaseAmount statement). However, the directional evidence from INDRA specifically supports the reverse direction (BUN -> creatinine) with 1 reverse statement and 0 forward statements. No PubMed abstracts were retrieved to provide additional context or contradict this directionality.",,reverse,0.0,1.0,1.0,,24088987,24088987,"(Creatinine -- waste product of muscle metabolism, kidney function marker.) AND (Blood urea nitrogen -- kidney function marker.)"
sodium,chloride,0.863,0.556778679026651,True,supported,0.4,no_directional_evidence,"The literature clearly supports a relationship between sodium and chloride, as they are consistently measured and discussed together as electrolytes in clinical contexts (all five PubMed abstracts discuss both). However, neither the PubMed abstracts nor INDRA statements provide clear directional evidence. The INDRA database shows equal counts of forward/reverse statements (both Complex type, same PMID), indicating they form complexes together (NaCl) but not a causal direction. The PubMed abstracts treat sodium and chloride as co-varying clinical parameters without establishing that changes in one cause changes in the other.","42078875, 42140747, 42179811, 42161422, 42220954",conflicting,1.0,1.0,1.0,32305372,32305372,32305372,(Serum sodium (electrolyte).) AND (Serum chloride (electrolyte).)
triglycerides,ldl,0.85,0.667647058823529,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,(Triglycerides -- blood fat level (lipid panel).) AND (LDL ('bad') cholesterol (lipid panel).)
bun,albumin,0.805,0.581366459627329,True,inconclusive,,,No PubMed search results and no INDRA statements for this pair.,,none,0.0,0.0,0.0,,,,"(Blood urea nitrogen -- kidney function marker.) AND (Albumin -- main blood protein, made by the liver (nutrition/liver/kidney marker).)"
alt,weight,0.804,0.575248756218905,True,supported,0.4,supports_reverse_direction,"The PubMed abstract (PMID 17698903) demonstrates an association between body weight (BMI) and ALT levels, but consistently shows body weight as a predictor/covariate rather than ALT predicting weight. The abstract reports body mass index being inversely associated with adiponectin levels, and ALT emerging as a negative covariate of adiponectin, suggesting weight influences ALT rather than the reverse. INDRA provides no directional evidence. The relationship exists but the proposed direction (alt -> weight) lacks support compared to the reverse.",17698903,none,0.0,0.0,0.0,,,,"(Alanine aminotransferase -- liver enzyme, liver injury marker.) AND (Body weight (anthropometric covariate).)"
